exo-mercat_name,name,host,letter,main_id,binary,ra_official,dec_official,mass,mass_max,mass_min,mass_url,msini,msini_max,msini_min,msini_url,bestmass,bestmass_max,bestmass_min,bestmass_url,bestmass_provenance,p,p_max,p_min,p_url,r,r_max,r_min,r_url,a,a_max,a_min,a_url,e,e_max,e_min,e_url,i,i_max,i_min,i_url,discovery_method,status,status_string,confirmed,discovery_year,final_alias,catalog,angular_separation,angular_separation_flag,binary_mismatch_flag,coordinate_mismatch,coordinate_mismatch_flag,duplicate_flag
ASAS J140748-3945.7  b,1SWASP J1407 b,1SWASP J140747.93-394542.6,b,ASAS J140748-3945.7,,211.950000016,-39.761944469,,,,,20.0,6.0,6.0,eu,20.0,6.0,6.0,eu,Msini,3725.0,900.0,900.0,eu,,,,,3.9,1.7,1.7,eu,0.8,0.1,0.1,oec,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CANDIDATE",1,2007.0,"V* V1400 Cen,1SWASP J1407,PPMX J140747.9-394542,UCAC4 252-062736,Gaia DR2 6117085769513415168,UCAC3 101-141675,GALAH 170218003701267,WISEA J140747.90-394542.9,2MASS J14074792-3945427,1SWASP J140747.93-394542.6,WISE J140747.91-394542.9,ASAS J140748-3945.7,Gaia DR3 6117085769513415168,1RXS J140746.9-394543,UCAC2  14835467,TIC 179367009,GSC 07807-00004","['eu', 'oec']",[0.0],0,0,,0,0
TYC 1987-1212-1  b,1SWASPJ115718.66+261906.1 b,1SWASPJ115718.66+261906.1,b,TYC 1987-1212-1,,179.3291667,26.3183333,,,,,,,,,,,,,Mass,1.226804,0.000128,0.000128,eu,,,,,,,,,,,,,,,,,NA,CONFIRMED,eu: CONFIRMED,1,2007.0,"Gaia DR1 4006365456717537024,Gaia DR2 4006365456717537024,TYC 1987-1212-1,UCAC2  41026935,2MASS J11571868+2619061,GSC 01987-01212,Gaia DR3 4006365456717537024,TIC 138906428,1SWASP J115718.66+261906.1",['eu'],[0.0],0,0,,0,0
TYC 2534-698-1  b,1SWASPJ130322.00+350525.4 b,1SWASPJ130322.00+350525.4,b,TYC 2534-698-1,,195.8416667,35.0902778,,,,,,,,,,,,,Mass,2.674207,0.000203,0.000203,eu,,,,,,,,,,,,,,,,,NA,CONFIRMED,eu: CONFIRMED,1,2007.0,"Gaia DR2 1516087656937694848,Gaia DR1 1516087652640906880,Gaia DR3 1516087656938126976,TYC 2534-698-1,TIC 165984323,1SWASP J130322.00+350525.4,2MASS J13032201+3505255,GSC 02534-00698",['eu'],[0.0],0,0,,0,0
TYC 1493-1324-1  b,1SWASPJ152131.01+213521.3 b,1SWASPJ152131.01+213521.3,b,TYC 1493-1324-1,,230.3791667,21.5891667,,,,,,,,,,,,,Mass,1.338018,4.1e-05,4.1e-05,eu,,,,,,,,,,,,,,,,,NA,CONFIRMED,eu: CONFIRMED,1,2007.0,"Gaia DR3 1214243157873530624,TYC 1493-1324-1,UCAC2  39497858,Gaia DR1 1214243157873530624,Gaia DR2 1214243157873530624,TIC 355792505,1SWASP J152131.01+213521.3,2MASS J15213102+2135213,GSC 01493-01324",['eu'],[0.0],0,0,,0,0
TYC 2041-1065-1  b,1SWASPJ160242.43+290850.1 b,1SWASPJ160242.43+290850.1,b,TYC 2041-1065-1,,240.675,29.1472222,,,,,,,,,,,,,Mass,1.304693,1.4e-05,1.4e-05,eu,,,,,,,,,,,,,,,,,NA,CONFIRMED,eu: CONFIRMED,1,2007.0,"Gaia DR2 1320158636236298368,2MASS J16024244+2908503,Gaia DR3 1320158636236298368,GSC 02041-01065,UCAC2  42070859,TIC 236314677,1SWASP J160242.43+290850.1,TYC 2041-1065-1",['eu'],[0.0],0,0,,0,0
TYC 2042-7-1  b,1SWASPJ161732.90+242119.0 b,1SWASPJ161732.90+242119.0,b,TYC 2042-7-1,,244.3875,24.3552778,,,,,,,,,,,,,Mass,1.453738,3e-05,3e-05,eu,,,,,,,,,,,,,,,,,NA,CONFIRMED,eu: CONFIRMED,1,2007.0,"TIC 236386367,Gaia DR1 1302842698192912768,GSC 02042-00007,2MASS J16173290+2421192,UCAC2  40363106,Gaia DR3 1302842702489873280,AP J16173290+2421192,Gaia DR2 1302842702489873280,TYC 2042-7-1,1SWASP J161732.90+242119.0",['eu'],[0.0],0,0,,0,0
* g Boo  b,24 Boo b,24 Boo,b,* g Boo,,217.15755416666664,49.84485027777778,0.91,0.13,0.1,oec,0.91,0.11,0.11,eu,0.91,0.11,0.11,eu,Msini,30.3506,0.0078,0.0077,2018PASJ...70...59T,,,,,0.19,0.012,0.009,2018PASJ...70...59T,0.042,0.048,0.029,2018PASJ...70...59T,,,,,Radial Velocity,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2018.0,"LTT 14267,HR  5420,Gaia DR3 1603662211901473408,PLX 3284,WEB 12266,* g Boo,IRAS 14268+5004,LSPM J1428+4950,TYC 3475-1198-1,YZC 26  4539,PLX 3284.00,AG+50 1041,ASCC  332198,BD+50  2084,G 223-65,GCRV  8454,USNO-B1.0 1398-00245143,Gaia DR1 1603662001446361600,HD 127243,HIC  70791,2MASS J14283785+4950414,UBV M  20205,GC 19532,YZ  50  4539,SKY# 26376,HIP 70791,TIC 441712711,*  24 Boo,PPM  54155,AP J14283785+4950414,GEN# +1.00127243,HIP  70791,NLTT 37494,SAO  29165,uvby98 100127243,N30 3282,Gaia DR2 1603662211901473408","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
*  24 Sex  b,24 Sex b,24 Sex,b,*  24 Sex,,155.86820541666663,-0.9022436388888889,,,,,1.84,0.11,0.11,eu,1.84,0.11,0.11,eu,Msini,452.8,2.1,4.5,2010arXiv1007.4552J,,,,,1.333,0.004,0.009,2010arXiv1007.4552J,0.09,0.14,0.06,2010arXiv1007.4552J,,,,,Radial Velocity,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2010.0,"Gaia DR2 3830897080395058048,*  24 Sex,HIC  50887,HIP 50887,tantis,uvby98 100090043,PPM 178166,SKY# 19956,TYC 4905-1374-1,GC 14267,YZ  90  3047,HD 90043,GEN# +1.00090043,HD  90043,UCAC3 179-114954,WEB  9309,BD-00 2332,2MASS J10232836-0054079,GCRV  6531,SAO 137532,BD-00  2332,AG-00 1492,HIP  50887,IRAS 10209-0039,Gaia DR3 3830897080395058048,TIC 1713457,GSC 04905-01374","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
*  24 Sex  c,24 Sex c,24 Sex,c,*  24 Sex,,155.86820541666663,-0.9022436388888889,,,,,1.52,0.2,0.2,eu,1.52,0.2,0.2,eu,Msini,883.0,32.0,14.0,eu,,,,,2.08,0.05,0.02,2010arXiv1007.4552J,0.29,0.16,0.09,2010arXiv1007.4552J,,,,,Radial Velocity,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2010.0,"Gaia DR2 3830897080395058048,*  24 Sex,HIC  50887,HIP 50887,tantis,uvby98 100090043,PPM 178166,SKY# 19956,TYC 4905-1374-1,GC 14267,YZ  90  3047,HD 90043,GEN# +1.00090043,HD  90043,UCAC3 179-114954,WEB  9309,BD-00 2332,2MASS J10232836-0054079,GCRV  6531,SAO 137532,BD-00  2332,AG-00 1492,HIP  50887,IRAS 10209-0039,Gaia DR3 3830897080395058048,TIC 1713457,GSC 04905-01374","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
SCR J0103-5515 AB b,2MASS 0103-55 (AB) b,2MASS J01033563-5515561,b,SCR J0103-5515,AB,15.899999999999999,-55.2656,13.0,1.0,1.0,2013A&A...553L...5D,,,,,13.0,1.0,1.0,2013A&A...553L...5D,Mass,,,,,,,,,,,,,,,,,,,,,Imaging,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2013.0,"SCR J0103-5515,** DLR    1AB,Delorme 1 (AB),WDS J01036-5516AB,WISEA J010335.77-551556.6,Gaia DR3 4914632365579875200,Gaia DR2 4914632365579875200,DENIS J010335.6-551556,2MASS J01033563-5515561,UCAC4 174-001025,TIC 206502540,WISE J010335.75-551556.6,UCAC3 70-2386","['eu', 'nasa', 'oec']","[0.0, 0.0008190894052791269]",1,0,,0,0
2MASS J02192210-3925225  b,2MASS 0219-39 b,2MASS 0219-39,b,2MASS J02192210-3925225,,34.841666674,-39.423055569,13.9,1.1,1.1,2015ApJ...806..254A,,,,,13.9,1.1,1.1,2015ApJ...806..254A,Mass,,,,,1.44,0.03,0.03,2015ApJ...806..254A,156.0,10.0,10.0,2015ApJ...806..254A,,,,,,,,,Imaging,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED",2,2015.0,"Gaia DR3 4963614887043956096,DENIS J021922.0-392522,2MASS J0292210-3925225,Gaia DR2 4963614887043956096,WISE J021922.18-392523.0,WISEA J021922.20-392523.0,USNO-B1.0 0505-00020936,TIC 77111651,2MASS J02192210-3925225","['eu', 'nasa']","[0.0003776073271692105, 0.0]",1,0,,0,0
2MASS J03590986+2009361  b,2MASS 0359+2009 b,2MASS 0359+2009,b,2MASS J03590986+2009361,,59.79166667,20.160000011,20.0,5.0,5.0,eu,,,,,20.0,5.0,5.0,eu,Mass,,,,,,,,,,,,,,,,,,,,,Imaging,CONFIRMED,eu: CONFIRMED,1,2019.0,,['eu'],[0.0005537318240802434],0,0,,0,0
2MASS J04414489+2301513  b,2MASS 0441+23 b,2MASS J04414489+2301513,b,2MASS J04414489+2301513,,70.4371079,23.0308544,7.5,2.5,2.5,2010ApJ...714L..84T,,,,,7.5,2.5,2.5,2010ApJ...714L..84T,Mass,,,,,,,,,15.0,0.6,0.6,eu,,,,,,,,,Imaging,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED",2,2010.0,"WDS J04417+2302Aa,2MASS J04414489+2301513,** KSA   29A,WDS J04417+2302A,** TOD    1Aa,USNO-B1.0 1130-00071517,Gaia DR3 146487556211644544,TIC 118893899,Gaia DR2 146487556211644544,UGCS J044144.89+230151.3,Ab","['eu', 'nasa']","[0.0, 0.0004091547445592702]",1,0,,0,0
[TLM2010] 2M J044145 B S-type b,2MASS 044144 b,2MASS 044144,b,[TLM2010] 2M J044145 B,S-type,70.44021666666666,23.03279722222222,9.8,1.8,1.8,oec,,,,,9.8,1.8,1.8,oec,Mass,,,,,,,,,,,,,,,,,,,,,Imaging,CONFIRMED,oec: CONFIRMED,1,2010.0,"2MASS J0441+2301,2M0441+2301 AabBab",['oec'],[1.3077980164184546e-14],0,0,,0,0
TYC 1995-1627-1  b,2MASS 1252+2735 b,2MASS 1252+2735,b,TYC 1995-1627-1,,193.21249999999998,27.586944459,6.88,0.21,0.64,oec,6.88,0.21,0.64,eu,6.88,0.21,0.64,oec,Mass,35.08,0.12,0.12,eu,,,,,,,,,,,,,,,,,Radial Velocity,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED",2,2021.0,2MASS J1252+2735,"['eu', 'oec']",[0.0011939273851952856],0,0,,0,0
TYC 1995-1627-1  c,2MASS 1252+2735 c,2MASS 1252+2735,c,TYC 1995-1627-1,,193.212500017,27.586944459,,,,,14.5,1.2,1.2,eu,14.5,1.2,1.2,eu,Msini,386.0,15.0,15.0,eu,,,,,,,,,0.15,0.14,0.14,eu,,,,,Radial Velocity,CONFIRMED,eu: CONFIRMED,1,2021.0,2MASS J1252+2735,['eu'],[0.0011939273851952856],0,0,,0,0
UCAC4 588-049886  b,2MASS 1253+2734 b,2MASS 1253+2734,b,UCAC4 588-049886,,193.254166667,27.571944444444444,8.3,1.8,0.2,oec,8.3,1.8,0.2,eu,8.3,1.8,0.2,oec,Mass,24.31,0.021,0.021,eu,,,,,,,,,0.681,0.053,0.053,eu,,,,,Radial Velocity,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED",2,2021.0,2MASS J1253+2734,"['eu', 'oec']",[0.0005080465969387026],0,0,,0,0
UCAC3 234-106607  b,2MASS 1258+2630 b,2MASS 1258+2630,b,UCAC3 234-106607,,194.5958333333333,26.502500012,3.4,0.31,0.18,oec,3.4,0.31,0.18,eu,3.4,0.31,0.18,oec,Mass,11.88,0.19,0.19,eu,,,,,,,,,0.598,0.084,0.084,eu,,,,,Radial Velocity,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED",2,2021.0,2MASS J1258+2630,"['eu', 'oec']",[0.0010227983957575865],0,0,,0,0
OGLE BLG-LPV-165575  b,2MASS 1759-2739 b,2MASS 1759-2739,b,OGLE BLG-LPV-165575,,269.95833335,-27.660277799,,,,,,,,,,,,,Mass,2.188051,5e-06,5e-06,eu,1.262,0.1,0.1,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2019.0,2MASS J17595014-2739369,['eu'],[0.003955046097108749],0,0,,0,0
2MASS J21402931+1625183  b,2MASS 2140+16 b,2MASS 2140+16,b,2MASS J21402931+1625183,,325.1208333333333,16.4216667,20.0,80.0,20.0,eu,,,,,20.0,80.0,20.0,eu,Mass,7340.0,584.0,584.0,eu,0.92,0.39,0.39,eu,3.53,0.15,0.15,eu,0.26,0.06,0.06,eu,46.2,8.7,8.7,eu,Imaging,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED",2,2010.0,"WDS J21405+1625Aa,2MASSI J2140293+162518,TIC 301728657,SDSS J214029.28+162517.5,Gaia DR2 1773355403397635968,** ALP   26A,Gaia DR3 1773355403397635968,2MASS J21402931+1625183,WDS J21405+1625A,** CLO    2,2MASS J2140+16,2MASSW J2140293+162518,Ab","['eu', 'oec']",[0.0],0,0,,0,0
PM J22364+4751B  b,2MASS 2236+4751 b,2MASS 2236+4751,b,PM J22364+4751B,,339.104166675,47.861944471,12.5,1.5,1.5,eu,,,,,12.5,1.5,1.5,eu,Mass,,,,,,,,,230.0,20.0,20.0,eu,,,,,,,,,Imaging,CONFIRMED,eu: CONFIRMED,1,2016.0,,['eu'],[0.0011527220580711164],0,0,,0,0
2MASS J02495639-0557352 AB c,2MASS J0249-0557 (AB) c,2MASS J02495639-0557352,c,2MASS J02495639-0557352,AB,42.484952078,-5.95983636252,11.6,1.3,1.0,eu,,,,,11.6,1.3,1.0,eu,Mass,,,,,,,,,,,,,,,,,,,,,NA,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED",2,2018.0,"Gaia DR2 5183875103632956032,2MASS J02495639-0557352,TIC 10930507,Gaia DR3 5183875103632956032,SDSS J024956.41-055735.7,2MASS J0249-0557","['eu', 'oec']",[0.0],0,0,,0,0
2MASS J04372171+2651014  b,2MASS J0437 b,2MASS J04372171+2651014,b,2MASS J04372171+2651014,,69.34054166666667,26.850297222222224,4.0,1.0,1.0,2021MNRAS.tmp.2819G,,,,,4.0,1.0,1.0,2021MNRAS.tmp.2819G,Mass,,,,,,,,,118.0,1.3,1.3,2021MNRAS.tmp.2819G,,,,,,,,,Imaging,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2021.0,"Gaia DR2 151499478104075008,Gaia DR3 151499478104075008,2MASS J04372171+2651014,EPIC 248131102,TIC 125843782","['eu', 'nasa', 'oec']","[0.0, 0.00012715288443137425]",1,0,,0,0
UCAC4 448-013340  b,2MASS J06023447-0034369 b,2MASS J06023447-0034369,b,UCAC4 448-013340,,90.64366666666665,-0.5769222222222222,1.68,0.11,0.11,2022arXiv220510197P,,,,,1.68,0.11,0.11,2022arXiv220510197P,Mass,3.052524,1.7e-05,1.7e-05,2022arXiv220510197P,1.229,0.021,0.021,2022arXiv220510197P,0.04047,0.00094,0.00094,2022arXiv220510197P,,,,,85.73,0.47,0.41,2022arXiv220510197P,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2021.0,"TIC 11755687,UCAC4 448-013340,Gaia DR3 3026325426682637824,EDR3 3026325426682637824,2MASS J06023447-0034369,Gaia-1,Gaia EDR3 3026325426682637824","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
2MASS J08381155+1511155  b,2MASS J0838+15 b,2MASS J0838+15,b,2MASS J08381155+1511155,,129.550000004,15.187777785,,,,,,,,,,,,,Mass,,,,,,,,,27.0,2.7,2.7,eu,,,,,,,,,Imaging,CONFIRMED,eu: CONFIRMED,1,2013.0,,['eu'],[0.0018011298051941373],0,0,,0,0
2MASS J08381155+1511155  c,2MASS J0838+15 c,2MASS J0838+15,c,2MASS J08381155+1511155,,129.550000004,15.187777785,,,,,,,,,,,,,Mass,,,,,,,,,27.0,2.7,2.7,eu,,,,,,,,,Imaging,CONFIRMED,eu: CONFIRMED,1,2013.0,,['eu'],[0.0018011298051941373],0,0,,0,0
